[10-Jun-2024 17:56:03 UTC] PHP Parse error:  Unmatched ')' in /Users/amyrowell/Local Sites/fictional-university/app/public/wp-content/themes/fictional-university-theme/archive-event.php on line 19
[10-Jun-2024 17:56:10 UTC] PHP Parse error:  Unmatched ')' in /Users/amyrowell/Local Sites/fictional-university/app/public/wp-content/themes/fictional-university-theme/archive-event.php on line 19
[10-Jun-2024 17:56:12 UTC] PHP Parse error:  Unmatched ')' in /Users/amyrowell/Local Sites/fictional-university/app/public/wp-content/themes/fictional-university-theme/archive-event.php on line 19
[10-Jun-2024 17:56:46 UTC] PHP Parse error:  Unmatched ')' in /Users/amyrowell/Local Sites/fictional-university/app/public/wp-content/themes/fictional-university-theme/archive-event.php on line 19
[10-Jun-2024 18:06:49 UTC] PHP Parse error:  syntax error, unexpected token "}" in /Users/amyrowell/Local Sites/fictional-university/app/public/wp-content/themes/fictional-university-theme/page.php on line 33
[10-Jun-2024 19:53:26 UTC] PHP Notice:  Function register_rest_route was called <strong>incorrectly</strong>. The REST API route definition for <code>university/v1/manageLike</code> is missing the required <code>permission_callback</code> argument. For REST API routes that are intended to be public, use <code>__return_true</code> as the permission callback. Please see <a href="https://wordpress.org/documentation/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 5.5.0.) in /Users/amyrowell/Local Sites/fictional-university/app/public/wp-includes/functions.php on line 5905
[10-Jun-2024 19:53:26 UTC] PHP Notice:  Function register_rest_route was called <strong>incorrectly</strong>. The REST API route definition for <code>university/v1/manageLike</code> is missing the required <code>permission_callback</code> argument. For REST API routes that are intended to be public, use <code>__return_true</code> as the permission callback. Please see <a href="https://wordpress.org/documentation/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 5.5.0.) in /Users/amyrowell/Local Sites/fictional-university/app/public/wp-includes/functions.php on line 5905
[10-Jun-2024 19:53:26 UTC] PHP Notice:  Function register_rest_route was called <strong>incorrectly</strong>. The REST API route definition for <code>university/v1/search</code> is missing the required <code>permission_callback</code> argument. For REST API routes that are intended to be public, use <code>__return_true</code> as the permission callback. Please see <a href="https://wordpress.org/documentation/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 5.5.0.) in /Users/amyrowell/Local Sites/fictional-university/app/public/wp-includes/functions.php on line 5905
[10-Jun-2024 19:53:28 UTC] PHP Notice:  Function register_rest_route was called <strong>incorrectly</strong>. The REST API route definition for <code>university/v1/manageLike</code> is missing the required <code>permission_callback</code> argument. For REST API routes that are intended to be public, use <code>__return_true</code> as the permission callback. Please see <a href="https://wordpress.org/documentation/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 5.5.0.) in /Users/amyrowell/Local Sites/fictional-university/app/public/wp-includes/functions.php on line 5905
[10-Jun-2024 19:53:28 UTC] PHP Notice:  Function register_rest_route was called <strong>incorrectly</strong>. The REST API route definition for <code>university/v1/manageLike</code> is missing the required <code>permission_callback</code> argument. For REST API routes that are intended to be public, use <code>__return_true</code> as the permission callback. Please see <a href="https://wordpress.org/documentation/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 5.5.0.) in /Users/amyrowell/Local Sites/fictional-university/app/public/wp-includes/functions.php on line 5905
[10-Jun-2024 19:53:28 UTC] PHP Notice:  Function register_rest_route was called <strong>incorrectly</strong>. The REST API route definition for <code>university/v1/search</code> is missing the required <code>permission_callback</code> argument. For REST API routes that are intended to be public, use <code>__return_true</code> as the permission callback. Please see <a href="https://wordpress.org/documentation/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 5.5.0.) in /Users/amyrowell/Local Sites/fictional-university/app/public/wp-includes/functions.php on line 5905
